Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
2015
25,May 5,@,KCR,"L,3-5",33,31,3,4,1,0,2,3,2,0,8,0,0,0,0,0,0,0,.244,.312,.389,.701,3,12,L,J.Vargas (63),2015
26,May 6,@,KCR,"W,10-3",44,36,10,13,4,0,1,9,4,0,5,2,1,1,0,1,0,0,.249,.317,.396,.714,7,10,L,D.Duffy (25),2015
27,May 7,@,KCR,"L,4-7",37,31,4,4,0,1,1,4,6,0,8,0,0,0,0,0,1,0,.244,.316,.393,.708,6,11,R,E.Volquez (40),2015
28,May 8,,MIN,"L,3-9",37,34,3,7,1,0,1,3,3,0,1,0,0,0,0,0,0,0,.243,.314,.390,.704,7,11,R,M.Pelfrey (55),2015
29,May 9,,MIN,"L,4-7",41,39,4,13,2,0,1,4,2,0,7,0,0,0,0,0,2,0,.247,.316,.393,.709,10,13,R,P.Hughes (41),2015
30,May 10,,MIN,"W,8-2",40,35,8,13,2,1,1,8,4,0,6,0,0,1,0,0,2,1,.251,.320,.399,.719,8,10,R,T.May (21),2015
31,May 12,,STL,"L,3-8",40,36,3,9,4,0,0,3,4,0,14,0,0,0,0,0,0,0,.251,.320,.398,.718,10,10,R,L.Lynn (69),2015
32,May 13,,STL,"W,2-0",39,29,2,7,1,0,0,2,6,0,3,2,2,0,0,0,0,0,.251,.323,.395,.717,13,9,R,J.Lackey (47),2015
33,May 14,,STL,"L,1-2",37,34,1,8,3,1,1,1,3,0,12,0,0,0,0,0,0,1,.250,.322,.397,.719,9,12,R,M.Wacha (58),2015
34,May 15,@,TEX,"W,8-3",42,36,8,12,4,0,1,8,3,0,3,2,0,1,0,2,1,0,.253,.325,.401,.726,7,11,L,W.Rodriguez (29),2015
35,May 16,@,TEX,"W,10-8",47,39,10,14,4,0,1,10,5,1,11,0,0,3,2,0,2,0,.256,.327,.406,.733,10,11,R,C.Lewis (35),2015
36,May 17,@,TEX,"L,1-5",38,32,1,6,1,0,0,1,5,1,9,1,0,0,0,0,0,1,.255,.327,.401,.728,10,10,R,N.Martinez (54),2015
37,May 18,@,CHW,"L,1-2",36,32,1,4,1,0,0,1,2,0,8,0,1,1,0,0,0,0,.251,.323,.394,.718,5,10,L,C.Sale (75),2015
38,May 19,@,CHW,"W,3-1",39,32,3,9,1,1,1,3,4,1,8,1,1,1,0,1,1,0,.252,.324,.396,.721,9,10,L,J.Quintana (53),2015
39,May 20,@,CHW,"W,4-3",38,29,4,6,1,0,0,4,6,0,8,0,2,1,0,2,3,0,.251,.325,.393,.717,7,11,L,C.Rodon (59),2015
40,May 21,@,CHW,"W,5-2",43,36,5,11,2,0,2,4,6,1,4,0,1,0,0,1,1,0,.252,.327,.396,.723,11,10,L,J.Danks (35),2015
41,May 22,,CIN,"W,7-3",42,34,7,11,2,1,1,7,8,0,2,0,0,0,0,1,0,0,.254,.330,.400,.730,11,9,R,M.Leake (23),2015
42,May 23,,CIN,"W,2-1",31,27,2,4,2,0,0,2,4,1,6,0,0,0,0,1,0,0,.252,.329,.396,.725,5,12,R,A.DeSclafani (71),2015
43,May 24,,CIN,"W,5-2",42,35,5,8,5,0,0,3,7,0,8,0,0,0,3,0,1,0,.252,.329,.396,.725,13,10,R,R.Iglesias (46),2015
44,May 25,,TEX,"L,8-10",42,34,8,8,4,0,2,8,7,1,9,0,0,1,1,0,0,1,.251,.330,.399,.729,7,11,R,P.Klein (18),2015
45,May 26,,TEX,"L,3-4",39,32,3,5,2,0,2,3,5,0,8,1,0,1,1,0,0,0,.249,.329,.399,.728,9,12,L,W.Rodriguez (49),2015
46,May 27,,TEX,"W,12-3",44,40,12,17,3,1,3,12,3,0,6,0,0,1,0,0,1,0,.254,.332,.409,.741,8,10,R,C.Lewis (-1),2015
47,May 28,@,SEA,"W,5-3",40,37,5,10,1,0,1,5,1,0,5,1,1,0,1,0,0,1,.254,.332,.408,.740,8,11,L,J.Paxton (37),2015
48,May 29,@,SEA,"L,1-2",30,29,1,3,0,1,0,1,1,0,9,0,0,0,0,1,0,0,.251,.328,.404,.732,2,11,R,T.Walker (86),2015
49,May 30,@,SEA,"W,4-3",36,30,4,6,1,0,1,4,5,0,5,0,0,1,0,1,0,1,.250,.328,.402,.730,5,11,L,R.Elias (41),2015
50,May 31,@,SEA,"W,6-3",59,50,6,18,4,0,1,6,7,2,7,0,1,1,0,3,1,0,.254,.331,.405,.736,17,11,L,J.Happ (44),2015
2015
51,Jun 2,@,KCR,"W,2-1",36,33,2,6,2,0,1,2,3,0,4,0,0,0,0,0,1,0,.252,.330,.404,.734,7,11,R,J.Guthrie (61),2015
52,Jun 3,@,KCR,"L,2-4",35,35,2,10,2,0,0,2,0,0,4,0,0,0,0,2,0,0,.253,.329,.403,.732,6,10,L,J.Vargas (51),2015
53,Jun 4,@,KCR,"W,6-2",37,33,6,10,3,0,1,6,3,0,6,0,1,0,0,0,2,0,.254,.329,.404,.734,7,10,R,C.Young (29),2015
54,Jun 5,,BAL,"L,2-5",37,33,2,7,1,0,0,2,4,0,6,0,0,0,0,1,0,0,.253,.329,.401,.730,8,12,R,C.Tillman (53),2015
55,Jun 6,,BAL,"W,2-1",36,27,2,7,2,0,0,2,8,0,9,0,1,0,0,2,1,0,.253,.330,.400,.731,10,10,R,U.Jimenez (50),2015
56,Jun 7,,BAL,"L,3-7",40,36,3,9,4,0,0,3,3,0,12,1,0,0,0,0,0,0,.253,.330,.400,.730,10,10,R,B.Norris (60),2015
57,Jun 9,,SEA,"L,2-3",37,35,2,8,0,0,2,2,2,0,3,0,0,0,1,1,0,0,.253,.329,.400,.729,8,11,L,R.Elias (59),2015
58,Jun 10,,SEA,"L,3-9",40,38,3,12,4,0,0,2,2,0,8,0,0,0,0,1,0,0,.254,.330,.400,.730,10,11,R,T.Walker (56),2015
59,Jun 11,,SEA,"W,6-0",35,32,6,10,1,0,1,6,3,0,10,0,0,0,0,2,0,0,.255,.330,.401,.731,5,10,L,J.Happ (30),2015
60,Jun 12,@,DET,"L,0-4",30,30,0,7,1,0,0,0,0,0,8,0,0,0,0,4,0,0,.255,.329,.399,.728,3,9,L,D.Price (81),2015
61,Jun 13,@,DET,"W,5-4",40,32,5,8,1,1,1,5,5,1,4,1,0,2,0,0,0,0,.254,.329,.399,.729,8,9,R,J.Verlander (53),2015
62,Jun 14,@,DET,"L,1-8",36,34,1,8,0,0,1,1,1,0,7,1,0,0,1,1,0,1,.254,.329,.398,.727,8,12,R,A.Simon (65),2015
63,Jun 16,@,CHC,"W,6-0",43,35,6,9,2,0,1,6,8,1,7,0,0,0,0,0,3,1,.254,.330,.398,.728,10,13,R,J.Arrieta (45),2015
64,Jun 17,,CHC,"L,0-17",31,29,0,4,0,0,0,0,2,0,6,0,0,0,0,1,0,0,.253,.328,.395,.723,4,13,L,T.Wada (73),2015
65,Jun 18,,CHC,"W,4-3",34,30,4,8,2,0,0,3,3,1,11,0,0,1,0,1,1,0,.253,.328,.394,.722,6,10,R,J.Hammel (50),2015
66,Jun 19,,TBR,"L,1-4",35,32,1,7,1,0,0,0,3,0,9,0,0,0,0,1,0,0,.252,.327,.392,.719,7,10,R,N.Karns (55),2015
67,Jun 20,,TBR,"L,1-4",36,32,1,6,1,0,0,1,4,0,9,0,0,0,0,1,0,0,.251,.327,.389,.716,8,10,R,E.Ramirez (58),2015
68,Jun 21,,TBR,"W,1-0",31,27,1,3,0,0,0,1,3,2,5,0,0,1,0,1,0,0,.250,.325,.386,.711,4,9,R,A.Colome (77),2015
69,Jun 22,,DET,"L,5-8",37,34,5,9,2,0,2,5,2,0,3,0,1,0,1,2,0,0,.250,.325,.388,.712,5,10,L,K.Ryan (35),2015
70,Jun 23,,DET,"L,3-7",38,37,3,12,4,0,0,2,0,0,8,0,0,1,1,2,0,0,.251,.325,.388,.713,8,10,L,D.Price (59),2015
71,Jun 24,,DET,"W,8-2",43,35,8,13,4,0,1,8,8,1,11,0,0,0,0,0,0,0,.253,.327,.391,.718,11,10,R,B.Farmer (37),2015
72,Jun 26,@,BAL,"L,3-4",39,36,3,10,0,0,3,3,3,0,9,0,0,0,0,1,0,0,.253,.327,.393,.720,9,11,L,W.Chen (53),2015
73,Jun 28 (1),@,BAL,"L,0-4",33,31,0,4,0,0,0,0,2,0,8,0,0,0,0,0,0,0,.252,.326,.390,.715,6,10,R,U.Jimenez (81),2015
74,Jun 28 (2),@,BAL,"L,0-8",34,34,0,8,2,0,0,0,0,0,7,0,0,0,0,1,0,0,.252,.325,.388,.713,7,11,R,C.Tillman (75),2015
75,Jun 29,@,TBR,"W,7-1",43,38,7,13,3,0,1,5,4,2,12,0,1,0,0,1,1,0,.253,.326,.390,.716,9,10,R,N.Karns (51),2015
76,Jun 30,@,TBR,"W,6-2",37,34,6,7,1,0,3,6,3,0,11,0,0,0,1,0,1,1,.252,.325,.391,.717,4,9,R,E.Ramirez (67),2015
2015
77,Jul 1,@,TBR,"W,8-1",39,36,8,10,3,0,1,8,2,0,4,0,0,1,0,0,0,0,.253,.325,.392,.717,4,10,R,A.Colome (43),2015
78,Jul 2,@,TBR,"W,5-4",39,34,5,8,0,0,1,5,3,0,9,0,0,1,0,2,0,0,.252,.324,.391,.716,4,10,L,M.Moore (38),2015
79,Jul 3,@,PIT,"W,5-2",42,33,5,7,1,0,1,5,8,0,6,1,0,0,1,1,0,0,.252,.325,.391,.716,10,14,R,C.Morton (52),2015
80,Jul 4,@,PIT,"L,0-1",30,28,0,3,0,0,0,0,1,0,7,1,0,0,0,2,0,0,.250,.324,.388,.711,3,11,L,J.Locke (84),2015
81,Jul 5,@,PIT,"L,3-5",32,29,3,5,1,0,0,3,1,0,6,1,1,0,0,2,1,0,.250,.323,.386,.708,2,14,R,G.Cole (64),2015
82,Jul 6,,HOU,"L,4-9",38,33,4,10,3,1,0,4,3,0,11,0,0,2,0,2,0,0,.250,.323,.387,.709,7,11,L,D.Keuchel (49),2015
83,Jul 7,,HOU,"W,2-0",33,31,2,8,1,0,1,2,2,0,6,0,0,0,0,1,0,0,.250,.323,.387,.709,7,9,R,V.Velasquez (56),2015
84,Jul 8,,HOU,"W,4-2",33,29,4,5,3,1,0,4,3,0,7,1,0,0,0,0,0,0,.249,.322,.386,.708,5,9,R,D.Straily (60),2015
85,Jul 9,,HOU,"W,3-1",34,32,3,9,2,1,1,3,2,1,4,0,0,0,0,1,0,0,.250,.322,.387,.710,7,11,L,B.Oberholtzer (43),2015
86,Jul 10,,OAK,"W,5-1",39,33,5,8,2,0,0,5,6,0,11,0,0,0,0,0,1,0,.250,.323,.386,.709,10,9,R,K.Graveman (42),2015
87,Jul 11,,OAK,"L,4-5",37,33,4,8,2,1,1,4,2,0,5,1,1,0,0,1,1,0,.250,.322,.387,.710,6,10,R,C.Bassitt (53),2015
88,Jul 12,,OAK,"L,0-2",29,28,0,2,0,0,0,0,1,0,6,0,0,0,0,1,0,0,.248,.320,.384,.705,2,10,R,S.Gray (88),2015
89,Jul 17,@,CIN,"L,1-6",36,34,1,6,3,0,0,1,2,0,3,0,0,0,1,1,0,0,.247,.319,.383,.702,8,16,R,M.Leake (60),2015
90,Jul 18,@,CIN,"W,9-4",43,38,9,11,3,0,3,9,4,0,6,1,0,0,0,0,2,0,.248,.320,.386,.706,7,11,R,A.DeSclafani (31),2015
91,Jul 19,@,CIN,"W,5-3",56,42,5,13,0,0,0,5,10,0,9,0,3,1,1,0,0,0,.249,.322,.385,.706,18,18,R,J.Cueto (42),2015
92,Jul 21,@,MIL,"L,1-8",35,32,1,9,3,0,0,1,3,0,10,0,0,0,0,4,0,0,.249,.322,.384,.707,7,15,R,M.Garza (62),2015
93,Jul 22,@,MIL,"W,7-5",43,37,7,14,3,0,2,7,6,2,5,0,0,0,0,3,1,0,.250,.324,.387,.711,9,17,R,K.Lohse (27),2015
94,Jul 23,,CHW,"L,1-8",32,31,1,4,1,0,0,1,1,0,5,0,0,0,0,0,0,0,.249,.322,.385,.707,4,10,R,J.Samardzija (73),2015
95,Jul 24,,CHW,"L,0-6",31,31,0,7,1,0,0,0,0,0,8,0,0,0,0,2,0,0,.249,.321,.384,.705,4,9,L,J.Quintana (81),2015
96,Jul 25,,CHW,"L,3-10",35,35,3,8,5,0,0,3,0,0,10,0,0,0,0,0,0,0,.249,.321,.384,.704,5,9,L,C.Sale (62),2015
97,Jul 26,,CHW,"L,1-2",34,32,1,6,1,1,0,1,1,0,13,1,0,0,0,1,0,0,.248,.320,.383,.702,6,11,L,C.Rodon (73),2015
98,Jul 27,,KCR,"L,4-9",39,34,4,9,0,0,2,4,5,0,6,0,0,0,0,1,0,0,.248,.320,.383,.703,8,9,R,E.Volquez (47),2015
99,Jul 28,,KCR,"L,1-2",36,32,1,8,1,0,0,0,4,0,7,0,0,0,0,1,6,1,.248,.320,.382,.703,8,9,R,C.Young (52),2015
100,Jul 29,,KCR,"W,12-1",47,41,12,18,3,0,4,12,2,0,7,3,0,1,0,0,0,0,.251,.322,.387,.710,11,9,R,J.Guthrie (20),2015
101,Jul 30,@,OAK,"W,3-1",31,30,3,7,1,0,1,2,1,0,7,0,0,0,0,1,1,3,.251,.322,.387,.709,1,9,R,C.Bassitt (58),2015
102,Jul 31,@,OAK,"W,2-1",37,34,2,8,2,0,0,1,3,0,9,0,0,0,1,1,2,0,.250,.322,.386,.708,8,10,R,K.Graveman (66),2015
2015
103,Aug 1,@,OAK,"L,1-5",33,33,1,5,0,0,1,1,0,0,8,0,0,0,1,0,0,0,.249,.320,.385,.705,5,9,R,A.Brooks (69),2015
104,Aug 2,@,OAK,"L,1-2",38,32,1,6,0,0,0,1,5,0,11,0,0,1,0,3,0,0,.249,.320,.383,.703,7,9,R,S.Gray (68),2015
105,Aug 3,@,LAA,"L,4-5",37,33,4,7,0,0,1,4,3,0,14,0,1,0,0,0,1,0,.249,.320,.382,.702,6,10,R,G.Richards (62),2015
106,Aug 4,@,LAA,"W,2-0",46,43,2,10,2,0,1,2,3,1,13,0,0,0,0,1,1,1,.248,.319,.382,.701,8,11,R,M.Shoemaker (70),2015
107,Aug 5,@,LAA,"L,3-4",35,30,3,5,1,0,2,3,4,1,8,0,1,0,0,0,0,0,.248,.319,.382,.701,5,12,L,H.Santiago (56),2015
108,Aug 7,,MIN,"L,9-10",43,38,9,13,2,0,1,9,3,1,9,0,1,1,1,0,0,0,.249,.319,.383,.702,7,11,R,M.Pelfrey (22),2015
109,Aug 8,,MIN,"W,17-4",51,40,17,19,4,1,2,17,8,0,4,0,1,2,0,0,1,0,.251,.322,.387,.709,10,12,R,E.Santana (4),2015
110,Aug 9,,MIN,"W,8-1",39,35,8,14,5,0,1,8,1,0,5,1,0,2,0,0,0,0,.252,.323,.390,.712,7,9,R,P.Hughes (14),2015
111,Aug 11,,NYY,"W,5-4",66,60,5,17,2,0,0,5,3,1,14,1,1,1,0,1,1,0,.253,.323,.389,.711,15,12,R,L.Severino (51),2015
112,Aug 12,,NYY,"W,2-1",35,30,2,10,0,0,0,2,3,0,4,0,2,0,0,2,0,0,.254,.323,.388,.711,9,9,L,C.Sabathia (46),2015
113,Aug 13,,NYY,"L,6-8",42,36,6,12,3,0,0,5,4,0,9,0,1,1,0,1,1,0,.254,.324,.388,.712,9,9,R,N.Eovaldi (39),2015
114,Aug 14,@,MIN,"W,6-1",40,39,6,14,4,1,1,6,1,0,5,0,0,0,0,0,3,0,.255,.324,.390,.715,7,9,R,T.May (43),2015
115,Aug 15,@,MIN,"L,1-4",35,30,1,4,2,0,0,1,5,0,9,0,0,0,0,1,0,0,.254,.324,.389,.713,7,10,R,T.Duffey (72),2015
116,Aug 16,@,MIN,"L,1-4",36,31,1,6,2,0,0,1,3,0,6,0,1,1,1,0,0,1,.254,.323,.388,.711,8,10,L,T.Milone (57),2015
117,Aug 17,@,BOS,"W,8-2",40,36,8,10,3,0,2,8,3,0,11,0,1,0,1,0,2,1,.254,.323,.389,.713,5,9,R,M.Barnes (35),2015
118,Aug 18,@,BOS,"L,1-9",32,32,1,6,0,0,1,1,0,0,5,0,0,0,0,1,0,0,.254,.323,.388,.711,4,10,L,E.Rodriguez (71),2015
119,Aug 19,@,BOS,"L,4-6",37,33,4,8,1,0,1,3,4,0,7,0,0,0,1,3,0,0,.254,.323,.388,.711,6,10,R,J.Kelly (60),2015
120,Aug 20,@,NYY,"W,3-2",36,33,3,8,2,0,0,3,3,0,7,0,0,0,0,1,0,1,.254,.322,.387,.710,6,11,R,I.Nova (45),2015
121,Aug 21,@,NYY,"W,7-3",42,39,7,12,3,1,1,6,2,0,7,1,0,0,1,1,0,0,.254,.323,.389,.711,8,10,R,M.Tanaka (46),2015
122,Aug 22,@,NYY,"L,2-6",36,32,2,6,1,0,1,2,4,0,9,0,0,0,0,1,0,0,.254,.322,.388,.710,7,9,R,L.Severino (64),2015
123,Aug 23,@,NYY,"W,4-3",42,32,4,9,1,1,2,4,10,1,6,0,0,0,1,3,0,1,.254,.324,.389,.713,11,11,L,C.Sabathia (39),2015
124,Aug 24,@,CHC,"L,1-2",32,28,1,6,0,0,0,1,1,0,6,2,1,0,0,4,1,0,.253,.323,.388,.711,4,15,L,J.Lester (73),2015
125,Aug 25,,MIL,"W,11-6",41,36,11,13,4,1,2,11,4,0,7,0,1,0,2,0,1,0,.254,.324,.391,.715,6,10,R,W.Peralta (33),2015
126,Aug 26,,MIL,"W,6-2",41,33,6,11,2,0,1,4,8,0,8,0,0,0,0,2,5,0,.255,.325,.392,.717,11,10,R,J.Nelson (28),2015
127,Aug 28,,LAA,"W,3-1",35,32,3,10,4,0,0,3,3,0,4,0,0,0,0,2,0,0,.255,.326,.392,.718,8,12,L,A.Heaney (62),2015
128,Aug 29,,LAA,"W,8-3",37,35,8,12,1,0,1,8,1,1,9,0,0,1,0,0,0,0,.256,.326,.392,.718,5,9,R,G.Richards (60),2015
129,Aug 30,,LAA,"W,9-2",39,32,9,10,5,0,1,9,4,2,3,1,2,0,1,0,0,0,.257,.327,.394,.720,6,11,R,J.Weaver (20),2015
130,Aug 31,@,TOR,"W,4-2",35,34,4,8,2,0,0,2,1,0,11,0,0,0,0,2,0,0,.256,.326,.393,.719,4,11,L,D.Price (61),2015
2015
131,Sep 1,@,TOR,"L,3-5",41,39,3,9,2,1,3,3,2,1,3,0,0,0,0,0,0,0,.256,.326,.394,.720,8,12,R,M.Estrada (60),2015
132,Sep 2,@,TOR,"L,1-5",29,29,1,4,0,0,0,1,0,0,6,0,0,0,0,2,0,0,.255,.324,.393,.717,1,9,R,R.Dickey (81),2015
133,Sep 4,@,DET,"W,8-1",41,36,8,11,3,1,1,8,4,1,4,1,0,0,0,2,0,0,.256,.325,.394,.719,6,12,L,K.Lobstein (23),2015
134,Sep 5,@,DET,"L,0-6",33,29,0,3,1,0,0,0,4,0,7,0,0,0,1,1,1,0,.255,.324,.392,.716,6,10,R,A.Simon (74),2015
135,Sep 6,@,DET,"W,4-0",37,35,4,9,0,2,0,4,2,0,6,0,0,0,0,0,0,1,.255,.324,.392,.716,6,9,R,J.Verlander (53),2015
136,Sep 7,@,CHW,"W,3-2",35,34,3,8,2,0,3,3,1,0,8,0,0,0,0,1,0,0,.255,.324,.393,.717,5,13,L,C.Sale (58),2015
137,Sep 8,@,CHW,"L,4-7",38,36,4,8,2,0,2,4,2,0,11,0,0,0,1,0,0,0,.254,.323,.394,.717,7,11,L,C.Rodon (70),2015
138,Sep 9,@,CHW,"W,6-4",40,38,6,12,3,1,2,4,2,0,6,0,0,0,0,1,0,0,.255,.323,.395,.719,7,10,R,J.Samardzija (45),2015
139,Sep 10,,DET,"W,7-5",40,34,7,10,3,0,3,7,4,0,5,1,1,0,0,0,2,0,.255,.324,.397,.721,9,9,R,A.Simon (38),2015
140,Sep 13 (1),,DET,"W,7-2",37,33,7,12,3,0,0,6,3,0,6,1,0,0,0,1,2,0,.256,.325,.398,.722,6,10,R,J.Verlander (47),2015
141,Sep 13 (2),,DET,"L,2-9",37,30,2,4,0,0,0,2,7,0,7,0,0,0,1,2,0,0,.255,.324,.396,.720,8,11,L,R.Wolf (46),2015
142,Sep 14,,KCR,"W,8-3",40,34,8,12,4,1,2,8,5,0,7,0,0,1,0,0,1,1,.256,.325,.398,.723,8,9,R,E.Volquez (38),2015
143,Sep 15,,KCR,"L,0-2",36,33,0,6,1,0,0,0,3,0,4,0,0,0,0,0,0,0,.255,.325,.397,.721,9,12,R,K.Medlen (62),2015
144,Sep 16,,KCR,"W,5-1",37,31,5,9,1,0,1,5,5,0,9,0,1,0,0,1,2,0,.256,.325,.397,.722,8,10,L,D.Duffy (30),2015
145,Sep 17,,KCR,"L,4-8",43,39,4,11,1,0,0,3,2,0,7,1,0,1,3,1,0,0,.256,.325,.396,.721,12,11,R,Y.Ventura (43),2015
146,Sep 18,,CHW,"W,12-1",43,37,12,13,0,0,2,12,5,0,10,1,0,0,1,1,0,0,.257,.326,.397,.723,7,12,L,C.Sale (51),2015
147,Sep 19,,CHW,"L,3-4",36,32,3,9,3,0,1,3,1,0,6,1,1,1,0,1,0,0,.257,.326,.398,.723,6,10,L,C.Rodon (66),2015
148,Sep 20,,CHW,"W,6-3",38,34,6,12,4,0,1,6,3,0,6,0,0,1,0,0,0,1,.257,.326,.399,.725,8,9,L,J.Danks (42),2015
149,Sep 22,@,MIN,"L,1-3",34,32,1,6,2,0,0,1,1,0,9,0,1,0,0,0,0,0,.257,.326,.398,.723,6,11,R,E.Santana (69),2015
150,Sep 23,@,MIN,"L,2-4",32,31,2,6,2,0,1,2,0,0,6,1,0,0,0,2,0,0,.257,.325,.397,.723,3,11,R,P.Hughes (63),2015
151,Sep 24,@,MIN,"W,6-3",42,35,6,9,1,1,2,6,6,1,8,1,0,0,0,1,1,0,.257,.325,.398,.724,9,10,R,K.Gibson (23),2015
152,Sep 25,@,KCR,"W,6-0",41,35,6,8,1,0,3,6,6,0,8,0,0,0,0,0,0,0,.256,.326,.399,.725,8,9,R,E.Volquez (57),2015
153,Sep 26,@,KCR,"W,9-5",40,36,9,12,3,2,1,8,2,0,10,0,1,1,0,0,1,1,.257,.326,.401,.726,4,10,R,K.Medlen (22),2015
154,Sep 27,@,KCR,"L,0-3",30,28,0,2,1,0,0,0,2,0,6,0,0,0,0,0,1,0,.256,.325,.399,.724,3,10,R,C.Young (68),2015
155,Sep 28,,MIN,"L,2-4",33,33,2,6,0,1,1,2,0,0,7,0,0,0,0,0,0,0,.255,.324,.399,.723,4,10,L,T.Milone (57),2015
156,Sep 30 (1),,MIN,"L,1-7",36,34,1,8,1,0,0,1,2,0,10,0,0,0,0,0,2,0,.255,.324,.398,.721,8,9,R,K.Gibson (71),2015
157,Sep 30 (2),,MIN,"W,10-2",39,36,10,12,3,0,2,9,3,1,8,0,0,0,1,0,1,1,.256,.324,.399,.723,5,9,R,M.Pelfrey (26),2015
158,Oct 1,,MIN,"L,2-4",34,32,2,7,2,0,1,2,1,0,9,0,1,0,0,1,0,0,.256,.324,.399,.723,5,9,R,T.Duffey (58),2015
159,Oct 2,,BOS,"W,8-2",41,34,8,12,4,0,1,8,7,0,8,0,0,0,0,1,1,0,.256,.325,.400,.724,9,11,L,H.Owens (15),2015
